,label,original,hypothesis,modified
14729,neutral,a woman hanging out of a car window in order to try and get a better look at something up ahead.,a woman hanging out of a window trying to see what is in the tree ahead of her.,a woman hanging window trying to see what is in the tree ahead of her.
14730,contradiction,a woman hanging out of a car window in order to try and get a better look at something up ahead.,a woman cliff diving into the water.,a woman cliff diving into water the.
14731,contradiction,a woman hanging out of a car window in order to try and get a better look at something up ahead.,a woman falls out of the car.,a woman fall out of the car.
14732,contradiction,a woman hanging out of a car window in order to try and get a better look at something up ahead.,a man riding a bike is looking down.,a down riding a bike is looking man.
14733,neutral,a woman hanging out of a car window in order to try and get a better look at something up ahead.,a driver checks upcoming traffic,a driver checks forthcoming traffic
14734,neutral,a woman hanging out of a car window in order to try and get a better look at something up ahead.,a woman is trying to figure out where she is.,a womanhood is trying to number out where she is.
14735,entailment,a woman hanging out of a car window in order to try and get a better look at something up ahead.,a lady looks up ahead while in a car,a A lady looks up ahead while in a car
14736,neutral,a woman hanging out of a car window in order to try and get a better look at something up ahead.,a woman is about to fall out of the car window.,a woman is about to fall out machine of the car window.
14737,entailment,a woman hanging out of a car window in order to try and get a better look at something up ahead.,there is a person in a vehicle.,there is a person a vehicle.
14738,entailment,a woman hanging out of a car window in order to try and get a better look at something up ahead.,a woman hangs her head out the car window.,a woman hangs her head out womanhood the car window.
14739,neutral,a woman hanging out of a car window in order to try and get a better look at something up ahead.,the woman's husband is driving.,the woman's husband driving.
14740,contradiction,a woman hanging out of a car window in order to try and get a better look at something up ahead.,a guy on a bike maneuvers through traffic,a guy on traffic bike maneuvers through a
14741,entailment,a woman hanging out of a car window in order to try and get a better look at something up ahead.,a person looking at something ahead.,a person looking soul at something ahead.
14742,contradiction,a woman hanging out of a car window in order to try and get a better look at something up ahead.,the woman is looking in the rearview mirror.,the woman is search in the rearview mirror.
14743,neutral,a busy asian street with bright signs.,a great street.,great street.
14744,neutral,a narrow street full of people and a car in an asian city.,the people on the street are asian.,the mass on the street are asian.
14745,entailment,a narrow street full of people and a car in an asian city.,there are many people on the street.,along there are many people on the street.
14746,contradiction,a narrow street full of people and a car in an asian city.,the road is full of cars.,full road is the of cars.
14747,neutral,a busy street scene in an asian community.,it is busy while kid play in a street.,it is busy while kid bring in a street.
14748,entailment,a busy street scene in an asian community.,the asian streets are busy.,the Asian asian streets are busy.
14749,contradiction,a busy street scene in an asian community.,the australian community street is busy.,the australian community street is personify busy.
14750,entailment,a busy asian street with bright signs.,a street with items,a street with item
14751,entailment,"a woman in a gray kimono walks past a black car in the middle of a crowded street full of japanese signs, with a man in an orange shirt and khaki slacks.",a woman is walking down a busy street.,a woman is A walking down a busy street.
14752,neutral,"a woman in a gray kimono walks past a black car in the middle of a crowded street full of japanese signs, with a man in an orange shirt and khaki slacks.",a woman is walking down a busy street in tokyo.,a woman is walking down a busy tokyo in street.
14753,contradiction,"a woman in a gray kimono walks past a black car in the middle of a crowded street full of japanese signs, with a man in an orange shirt and khaki slacks.",a woman is running in a park.,a woman is range in a park.
14754,entailment,there are people walking down a busy nighttime street with signs lighting the way.,people are walking down a busy street.,people are walking down a meddling street.
14755,neutral,there are people walking down a busy nighttime street with signs lighting the way.,people are walking down a street holding homemade signs.,people are walking down a street belongings homemade signs.
14756,contradiction,there are people walking down a busy nighttime street with signs lighting the way.,people are walking down an empty road.,multitude are walking down an empty road.
14757,contradiction,a busy asian street with bright signs.,just a duck,just a evade
14758,contradiction,"a man skateboards, while another man rides a bike.",the two men work to fix the child's bicycle in their garage.,the two men make to get the child's bicycle in their garage.
14759,entailment,"a man skateboards, while another man rides a bike.",there are two men in this picture,there are two men in this characterisation
14760,neutral,kid doing a skateboard trick and an older kid riding a bike.,the kids are frinds.,the nestling are frinds.
14761,contradiction,kid doing a skateboard trick and an older kid riding a bike.,the older kids are on skateboards,the on kids are older skateboards
14762,entailment,kid doing a skateboard trick and an older kid riding a bike.,the kid is doing a trick,the kid is doing a flim-flam
14763,contradiction,a child is skateboarding while a man is riding his bike.,the child and man are running.,the child man are running.
14764,neutral,a child is skateboarding while a man is riding his bike.,the child is with his dad.,the youngster is with his dad.
