,label,original,hypothesis,modified
13723,neutral,a girl with dreadlocks standing in a pool,the girl is at a party,the girl is at a party
13724,contradiction,a girl with dreadlocks standing in a pool,the girl is swimming,the girl is swimming
13725,entailment,a girl with dreadlocks standing in a pool,the girl is wet,the girl is wet
13726,contradiction,a small black girl in a bathing suit,"the girl is dressed in a flower-girls dress, and is putting rose petals down on the aisle before the bride comes out.","the girl is dressed in a flower-girls dress, and is putting rose petals down on the aisle before the bride comes out."
13727,neutral,a small black girl in a bathing suit,the girl is visiting her grandmother who lives on martha's vineyard.,the girl is visiting her grandmother who lives on martha's vineyard.
13728,entailment,a small black girl in a bathing suit,there is one child in this picture.,there's one child in this picture.
13729,neutral,a little girl in a pink bathing suit laughs by a pool.,a little sad girl in a pink bathing suit laughs by a pool.,a little sad girl in a pink bathing suit laughs by a pool.
13730,contradiction,a little girl in a pink bathing suit laughs by a pool.,a little boy in a pink bathing suit laughs by a pool.,a little boy in a pink bathing suit laughs by a pool.
13731,neutral,young african-american girl in a red bathing suit at the edge of the pool.,a girl is about to swim indoors.,a girl is about to swim indoors.
13732,contradiction,a boy with face paint looks out over a stone sculpture.,a boy has a mask on,a boy has a mask on
13733,entailment,a kid with his face painted is at the top of a concrete structure with asterisks carved inside.,a kid has a painted face.,a kid has a painted face.
13734,contradiction,a kid with his face painted is at the top of a concrete structure with asterisks carved inside.,the kid is laying in a pool.,the kid is laying in a pool.
13735,neutral,a kid with his face painted is at the top of a concrete structure with asterisks carved inside.,his face is painted to look like a tiger.,his face is painted to look like a tiger.
13736,neutral,"a little boy, who's face is painted like a zombie climbs on a stone structure.",the kid is having a bad time,the kid is having a bad time
13737,entailment,"a little boy, who's face is painted like a zombie climbs on a stone structure.",a kid's face is painted,a kid's face is painted
13738,contradiction,"a little boy, who's face is painted like a zombie climbs on a stone structure.",the kid is an actual zombie,the kid is an actual zombie
13739,entailment,"a young boy wearing red, white and blue face paint and a american flag shirt leans over a decorative stone structure.",the young boy was very patriotic,the young boy was very patriotic
13740,neutral,"a young boy wearing red, white and blue face paint and a american flag shirt leans over a decorative stone structure.",the patriotic boy went overboard with his red white and blue face,the patriotic boy went overboard with his red white and blue face
13741,contradiction,"a young boy wearing red, white and blue face paint and a american flag shirt leans over a decorative stone structure.",the boy was having a shower in the bathroom,the boy was having a shower in the bathroom
13742,entailment,this stone sculptor gently shaded seems to decorate a garden but here a young boy dressed in a us flag decorated t-shirt enjoys climbing on it.,the boy is young.,the boy is young.
13743,neutral,this stone sculptor gently shaded seems to decorate a garden but here a young boy dressed in a us flag decorated t-shirt enjoys climbing on it.,the t-shirt is moldy.,the t-shirt is moldy.
13744,contradiction,this stone sculptor gently shaded seems to decorate a garden but here a young boy dressed in a us flag decorated t-shirt enjoys climbing on it.,the flag is canadian.,the flag is canadian.
13745,entailment,a boy with face paint looks out over a stone sculpture.,a boy has face paint,a boy has face paint
13746,neutral,a boy with face paint looks out over a stone sculpture.,a boy is pointing out the horizon in the distance,a boy is pointing out the horizon in the distance
13747,contradiction,two people one in a brown shirt wearing a backpack and the other wearing a pick sweater and bike helmet are kneeling at a bicycle tire.,nobody has a shirt on,nobody has a shirt on
13748,neutral,two people one in a brown shirt wearing a backpack and the other wearing a pick sweater and bike helmet are kneeling at a bicycle tire.,a tall person in a shirt,a tall person in a shirt
13749,contradiction,two women with decorated bicycles one is wearing a red backpack and the other has a black helmet and pink sweatshirt.,two women with decorated bicycles are getting ready to go home.,two women with decorated bicycles are getting ready to go home.
13750,entailment,two women with decorated bicycles one is wearing a red backpack and the other has a black helmet and pink sweatshirt.,two women with decorated bicycles one is wearing a red backpack and the other has a black helmet and pink sweatshirt.,two women with decorated bicycles two is wearing a red backpack and the other has a black helmet and pink sweatshirt.
13751,neutral,two women with decorated bicycles one is wearing a red backpack and the other has a black helmet and pink sweatshirt.,two women with decorated bicycles one is wearing a red backpack and the other has a black helmet and pink sweatshirt is training for a race.,two women with decorated bicycles two is wearing a red backpack and the other has a black helmet and pink sweatshirt is training for a race.
13752,entailment,2 girls are outside working on their bicycles,two female humans are near bikes.,two female humans are near bikes.
13753,contradiction,2 girls are outside working on their bicycles,two girls wash their feet.,two girls wash their feet.
